13.0,15.5,60.0,1.0,Normal
13.0,22.6,60.0,1.0,Normal
13.0,23.0,60.0,1.0,Normal
13.0,23.0,65.0,1.0,Normal
13.0,24.0,65.0,1.0,Normal
13.0,23.0,65.0,1.0,Class1
13.0,25.0,70.0,1.0,Class2
13.0,30.0,70.0,1.0,Morbid
18.0,18.5,80.0,1.0,Normal
18.0,18.5,89.0,1.0,Normal
18.0,19.0,89.0,1.0,Normal
18.0,24.5,80.0,1.0,Normal
18.0,25.0,89.0,1.0,Normal
18.0,25.0,90.0,1.0,Overweight
18.0,25.5,93.0,1.0,Overweight
18.0,29.9,90.0,1.0,Overweight
18.0,30.0,90.0,1.0,Overweight
18.0,30.0,85.0,1.0,class1
18.0,30.0,94.0,1.0,class1
18.0,33.0,94.0,1.0,class1
18.0,33.0,90.0,1.0,class1
18.0,33.0,90.0,1.0,class1
18.0,34.0,90.0,1.0,class1
18.0,35.0,90.0,1.0,class2
18.0,40.0,90.0,1.0,class2
18.0,41.0,90.0,1.0,Morbid
18.0,41.0,85.0,1.0,Morbid







